"","indication","generic_name","n"
"112","Vascular System","nifedipine",36
"113","Respiratory System","ipratropium",35
"114","Skin and subcutaneous tissue  ","nystatin",35
"115","Metabolism and nutrition  ","ferrous_sulfate",34
"116","Infections and infestations","amoxicillin_and_clavulanate_potassium",33
"117","Pain","fentanyl",33
"118","Renal and urinary system  ","dopamine",32
"119","Surgical and medical procedures","propofol",32
"120","Pain","midazolam",31
"121","Respiratory System","methylprednisolone",31
"122","Blood and lymphatic system  ","warfarin",30
"123","Gastrointestinal System","trimethobenzamide",30
"124","Infections and infestations","cephalexin",30
"125","Surgical and medical procedures","pancuronium_bromide",30
"126","Surgical and medical procedures","thiopental",29
"127","Psychiatric Disorders","morphine",28
"128","Respiratory System","dexamethasone",28
"129","Infections and infestations","imipenem",27
"130","Metabolism and nutrition  ","sodium_chloride",27
"131","Nervous system  ","cyclobenzaprine",27
"132","Pain","hydromorphone",27
"133","Psychiatric Disorders","trazodone",27
"134","Renal and urinary system  ","oxybutynin",27
"135","Surgical and medical procedures","diphenhydramine",27
"136","Pain","phenol",26
"137","Pain","oxycodone",25
"138","Surgical and medical procedures","meperidine",25
"139","Gastrointestinal System","docusate_and_senna",24
"140","General Disorders","vancomycin",24
"141","Infections and infestations","cefuroxime",24
"142","Skin and subcutaneous tissue  ","clotrimazole",24
"143","Vascular System","potassium_chloride",24
"144","Gastrointestinal System","simethicone",23
"145","Infections and infestations","erythromycin",23
"146","Psychiatric Disorders","nortriptyline",23
"147","Psychiatric Disorders","sertraline",23
"148","Surgical and medical procedures","diazepam",23
"149","Blood and lymphatic system  ","fresh_frozen_plasma",22
"150","General Disorders","furosemide",22
"151","General Disorders","gentamicin",22
"152","Infections and infestations","aztreonam",22
"153","Infections and infestations","dexamethasone",22
"154","Infections and infestations","penicillin",22
"155","Metabolism and nutrition  ","calcium_chloride",22
"156","Psychiatric Disorders","chlordiazepoxide",22
"157","Respiratory System","saline",22
"158","Metabolism and nutrition  ","sodium_bicarbonate",21
"159","Skin and subcutaneous tissue  ","bacitracin",21
"160","Surgical and medical procedures","dexamethasone",21
"161","Surgical and medical procedures","ranitidine",21
"162","Gastrointestinal System","atropine_and_diphenoxylate",20
"163","Gastrointestinal System","hydroxyzine",20
"164","Immune system  ","diphenhydramine",20
"165","Infections and infestations","cefotetan",20
"166","Metabolism and nutrition  ","phytonadione",20
"167","Nervous system  ","oxybutynin",20
"168","Pain","amitriptyline",20
"169","Pain","promethazine",20
"170","Surgical and medical procedures","isoflurane",20
"171","Blood and lymphatic system  ","phytonadione",19
"172","Pain","lidocaine",19
"173","Gastrointestinal System","mineral_oil",18
"174","Gastrointestinal System","omeprazole",18
"175","Gastrointestinal System","ondansetron",18
"176","General Disorders","cefazolin",18
"177","Infections and infestations","amikacin",18
"178","Infections and infestations","pneumococcal_vaccine",18
"179","Psychiatric Disorders","fluoxetine",18
"180","Cardiac System","digoxin",17
"181","Infections and infestations","ceftizoxime",17
"182","Metabolism and nutrition  ","potassium_phosphate_and_sodium_phosphates",17
"183","Nervous system  ","carbamazepine",17
"184","Pain","diazepam",17
"185","Pain","naproxen",17
"186","Skin and subcutaneous tissue  ","hydrocortisone",17
"187","Gastrointestinal System","dimenhydrinate",16
"188","General Disorders","ceftazidime",16
"189","Metabolism and nutrition  ","magnesium",16
"190","Musculoskeletal System","etidronate",16
"191","Respiratory System","beclomethasone",16
"192","Respiratory System","brompheniramine_pseudoephedrine",16
"193","Respiratory System","furosemide",16
"194","Vascular System","mannitol",16
"195","Gastrointestinal System","loperamide",15
"196","Gastrointestinal System","magnesium_citrate",15
"197","Metabolism and nutrition  ","sodium_polystyrene_sulfonate",15
"198","Pain","butamben_tetracaine_benzocaine",15
"199","Pain","methocarbamol",15
"200","Respiratory System","norepinephrine",15
"201","Surgical and medical procedures","iothalamate_meglumine",15
"202","Gastrointestinal System","droperidol",14
"203","Gastrointestinal System","metronidazole",14
"204","Metabolism and nutrition  ","vitamin_C",14
"205","Surgical and medical procedures","atropine",14
"206","Surgical and medical procedures","hydroxyzine",14
"207","Surgical and medical procedures","lorazepam",14
"208","Surgical and medical procedures","neostigmine",14
"209","Vascular System","dobutamine",14
"210","Vascular System","fresh_frozen_plasma",14
"211","Vascular System","sodium_chloride",14
"212","Blood and lymphatic system  ","platelets",13
"213","Infections and infestations","imipenem_and_cilastatin",13
"214","Infections and infestations","mezlocillin",13
"215","Metabolism and nutrition  ","potassium",13
"216","Nervous system  ","phenytoin",13
"217","Pain","nabumetone",13
"218","Psychiatric Disorders","promethazine",13
"219","Renal and urinary system  ","furosemide",13
"220","Surgical and medical procedures","etomidate",13
"221","Gastrointestinal System","lactobacillus",12
"222","Gastrointestinal System","sennosides",12
"223","Infections and infestations","acyclovir",12
"224","Nervous system  ","mannitol",12
"225","Pain","capsaicin",12
"226","Pain","tramadol",12
"227","Psychiatric Disorders","doxepin",12
"228","Respiratory System","gentamicin",12
"229","Respiratory System","terfenadine",12
"230","Respiratory System","vancomycin",12
"231","Cardiac System","nitroglycerin",11
"232","Gastrointestinal System","aluminum_magnesium_simethicone",11
"233","Gastrointestinal System","glycopyrrolate",11
"234","Gastrointestinal System","sorbitol",11
"235","Infections and infestations","amphotericin_B",11
"236","Infections and infestations","influenza_vaccine",11
"237","Infections and infestations","oxacillin",11
"238","Infections and infestations","tetanus_vaccine",11
"239","Psychiatric Disorders","chlorpromazine",11
"240","Renal and urinary system  ","bethanechol",11
"241","Respiratory System","guaifenesin_potassium_guaiacolsulfonate",11
"242","Surgical and medical procedures","rbc",11
"243","Vascular System","dextrose",11
"244","Cardiac System","epinephrine",10
"245","General Disorders","ciprofloxacin",10
"246","General Disorders","dexamethasone",10
"247","General Disorders","indomethacin",10
"248","General Disorders","ketorolac",10
"249","Infections and infestations","ibuprofen",10
"250","Infections and infestations","methylprednisolone",10
"251","Infections and infestations","neomycin_sulfate_polymyxin_B_sulfate_bacitracin_zinc_and_hydrocortisone",10
"252","Metabolism and nutrition  ","acetazolamide",10
"253","Metabolism and nutrition  ","calcium_carbonate",10
"254","Metabolism and nutrition  ","zinc",10
"255","Pain","buprenorphine",10
"256","Pain","carbamazepine",10
"257","Psychiatric Disorders","vecuronium_bromide",10
"258","Respiratory System","chlorpromazine",10
"259","Respiratory System","phenylephrine",10
"260","Vascular System","nitroglycerin",10
"261","Vascular System","phenylephrine",10
"262","Blood and lymphatic system  ","diphenhydramine",9
"263","Gastrointestinal System","magnesium_hydroxide",9
"264","General Disorders","sulfamethoxazole",9
"265","General Disorders","trimethoprim",9
"266","Infections and infestations","albuterol",9
"267","Infections and infestations","cefoxitin",9
"268","Infections and infestations","mupirocin",9
"269","Infections and infestations","phenazopyridine",9
"270","Metabolism and nutrition  ","lipids",9
"271","Nervous system  ","amitriptyline",9
"272","Nervous system  ","carisoprodol",9
"273","Pain","cyclobenzaprine",9
"274","Psychiatric Disorders","nicotine",9
"275","Psychiatric Disorders","paroxetine",9
"276","Psychiatric Disorders","propofol",9
"277","Respiratory System","epinephrine",9
"278","Surgical and medical procedures","haloperidol",9
"279","Surgical and medical procedures","potassium_chloride",9
"280","Surgical and medical procedures","succinylcholine",9
"281","Vascular System","epinephrine",9
"282","Vascular System","hetastarch",9
"283","Vascular System","saline",9
"284","Cardiac System","nifedipine",8
"285","Gastrointestinal System","aluminum_hydroxide",8
"286","Gastrointestinal System","bismuth_subsalicylate",8
"287","General Disorders","ceftriaxone",8
"288","General Disorders","clindamycin",8
"289","Metabolism and nutrition  ","calcium",8
"290","Nervous system  ","clonidine",8
"291","Pain","benzocaine_menthol",8
"292","Pain","diclofenac",8
"293","Pain","trolamine_salicylate",8
"294","Psychiatric Disorders","pentobarbital",8
"295","Respiratory System","guaifenesin_phenylephrine",8
"296","Respiratory System","pseudoephedrine_triprolidine",8
"297","Skin and subcutaneous tissue  ","hydroxyzine",8
"298","Surgical and medical procedures","naloxone",8
"299","Surgical and medical procedures","sufentanil",8
"300","Ear and labyrinth  ","triethanolamine_polypeptide_oleate",7
"301","General Disorders","aspirin",7
"302","General Disorders","promethazine",7
"303","General Disorders","ticarcillin",7
"304","Infections and infestations","rifampin",7
"305","Infections and infestations","terconazole",7
"306","Infections and infestations","tetracycline",7
"307","Metabolism and nutrition  ","magnesium_oxide",7
"308","Psychiatric Disorders","fentanyl",7
"309","Psychiatric Disorders","imipramine",7
"310","Respiratory System","ceftazidime",7
"311","Respiratory System","prednisone",7
"312","Respiratory System","ticarcillin",7
"313","Respiratory System","triamcinolone",7
"314","Surgical and medical procedures","bacitracin",7
"315","Surgical and medical procedures","cyclobenzaprine",7
"316","Surgical and medical procedures","DOM",7
"317","Surgical and medical procedures","droperidol",7
"318","Surgical and medical procedures","hetastarch",7
"319","Surgical and medical procedures","lidocaine_and_epinephrine",7
"320","Surgical and medical procedures","nafcillin",7
"321","Vascular System","acetazolamide",7
"322","Vascular System","epinephrine_sulfate",7
"323","Vascular System","fludrocortisone",7
"324","Cardiac System","diltiazem",6
"325","Cardiac System","verapamil",6
"326","Ear and labyrinth  ","carbamide_peroxide",6
"327","Gastrointestinal System","fresh_frozen_plasma",6
"328","Gastrointestinal System","psyllium",6
"329","General Disorders","ampicillin",6
"330","General Disorders","piperacillin",6
"331","Infections and infestations","neomycin",6
"332","Infections and infestations","norepinephrine",6
"333","Infections and infestations","piperacillin_and_tazobactam",6
"334","Metabolism and nutrition  ","dextrose",6
"335","Metabolism and nutrition  ","sodium",6
"336","Nervous system  ","clonazepam",6
"337","Nervous system  ","dantrolene",6
"338","Pain","butorphanol_tartrate",6
"339","Pain","indomethacin",6
"340","Pain","lorazepam",6
"341","Psychiatric Disorders","buspirone",6
"342","Psychiatric Disorders","clonazepam",6
"343","Psychiatric Disorders","quazepam",6
"344","Respiratory System","diphenhydramine",6
"345","Respiratory System","docusate",6
"346","Respiratory System","piperacillin",6
"347","Respiratory System","terbutaline",6
"348","Skin and subcutaneous tissue  ","cefazolin",6
"349","Surgical and medical procedures","famotidine",6
"350","Surgical and medical procedures","norepinephrine",6
"351","Vascular System","pseudoephedrine",6
"352","Blood and lymphatic system  ","furosemide",5
"353","Cardiac System","dopamine",5
"354","Cardiac System","lidocaine",5
"355","Ear and labyrinth  ","neomycin_sulfate_polymyxin_B_sulfate_bacitracin_zinc_and_hydrocortisone",5
"356","Eye  ","sulfacetamide",5
"357","Gastrointestinal System","lactulose",5
"358","Gastrointestinal System","platelets",5
"359","General Disorders","acetaminophen_and_codeine",5
"360","General Disorders","naproxen",5
"361","Infections and infestations","cloxacillin",5
"362","Infections and infestations","doxycycline",5
"363","Infections and infestations","indomethacin",5
"364","Infections and infestations","ketoconazole",5
"365","Infections and infestations","oxybutynin",5
"366","Metabolism and nutrition  ","fresh_frozen_plasma",5
"367","Metabolism and nutrition  ","metoclopramide",5
"368","Nervous system  ","lorazepam",5
"369","Nervous system  ","methylprednisolone",5
"370","Pain","aspirin",5
"371","Pain","magnesium_sulfate",5
"372","Pain","methadone",5
"373","Psychiatric Disorders","clorazepate",5
"374","Psychiatric Disorders","estazolam",5
"375","Respiratory System","chlorpheniramine",5
"376","Respiratory System","metaproterenol",5
"377","Skin and subcutaneous tissue  ","zinc_oxide",5
"378","Surgical and medical procedures","methylprednisolone",5
"379","Surgical and medical procedures","rocuronium",5
"380","Vascular System","labetalol",5
"381","Cardiac System","adenosine",4
"382","Cardiac System","esmolol",4
"383","Cardiac System","furosemide",4
"384","Cardiac System","isoproterenol",4
"385","Gastrointestinal System","ferrous_sulfate",4
"386","Gastrointestinal System","kaolin_pectin",4
"387","General Disorders","acetazolamide",4
"388","General Disorders","cefotaxime",4
"389","General Disorders","lorazepam",4
"390","General Disorders","meclizine",4
"391","General Disorders","metronidazole",4
"392","General Disorders","morphine",4
"393","General Disorders","tobramycin",4
"394","Immune system  ","furosemide",4
"395","Infections and infestations","acetic_acid",4
"396","Infections and infestations","baclofen",4
"397","Infections and infestations","cephapirin",4
"398","Infections and infestations","hydrocortisone",4
"399","Infections and infestations","ipratropium",4
"400","Infections and infestations","prednisone",4
"401","Infections and infestations","pseudoephedrine",4
"402","Infections and infestations","saline",4
"403","Metabolism and nutrition  ","famotidine",4
"404","Metabolism and nutrition  ","saline",4
"405","Nervous system  ","ephedrine",4
"406","Nervous system  ","furosemide",4
"407","Nervous system  ","phenobarbital",4
"408","Pain","aspirin_and_oxycodone",4
"409","Pain","aspirin_butalbital_and_caffeine",4
"410","Pain","benzocaine",4
"411","Pain","ketoprofen",4
"412","Pain","methyl_salicylate",4
"413","Pain","nortriptyline",4
"414","Psychiatric Disorders","droperidol",4
"415","Psychiatric Disorders","phenobarbital",4
"416","Psychiatric Disorders","phenytoin",4
"417","Psychiatric Disorders","terazosin",4
"418","Psychiatric Disorders","thioridazine",4
"419","Renal and urinary system  ","bumetanide",4
"420","Renal and urinary system  ","metronidazole",4
"421","Respiratory System","cefotaxime",4
"422","Respiratory System","epinephrine_sulfate",4
"423","Respiratory System","imipenem",4
"424","Respiratory System","midazolam",4
"425","Skin and subcutaneous tissue  ","benzoyl_peroxide",4
"426","Skin and subcutaneous tissue  ","betamethasone_and_clotrimazole",4
"427","Skin and subcutaneous tissue  ","ketoconazole",4
"428","Skin and subcutaneous tissue  ","silver_sulfadiazine",4
"429","Skin and subcutaneous tissue  ","triamcinolone",4
"430","Skin and subcutaneous tissue  ","zinc",4
"431","Surgical and medical procedures","aminophylline",4
"432","Surgical and medical procedures","atracurium",4
"433","Surgical and medical procedures","butorphanol",4
"434","Surgical and medical procedures","chloral_hydrate",4
"435","Surgical and medical procedures","methocarbamol",4
"436","Surgical and medical procedures","phenylephrine",4
"437","Surgical and medical procedures","saline",4
"438","Vascular System","atropine",4
"439","Vascular System","chlordiazepoxide",4
"440","Vascular System","clonidine",4
"441","Vascular System","hydralazine",4
"442","Vascular System","kcl",4
"443","Blood and lymphatic system  ","cryoprecipitate",3
"444","Blood and lymphatic system  ","dopamine",3
"445","Blood and lymphatic system  ","ferrous_gluconate",3
"446","Blood and lymphatic system  ","folic_acid",3
"447","Cardiac System","dobutamine",3
"448","Cardiac System","glycopyrrolate",3
"449","Eye  ","bacitracin",3
"450","Eye  ","tobramycin",3
"451","Gastrointestinal System","diphenhydramine",3
"452","Gastrointestinal System","vancomycin",3
"453","General Disorders","acetaminophen_and_propoxyphene",3
"454","General Disorders","ampicillin_and_sulbactam",3
"455","General Disorders","codeine",3
"456","General Disorders","fluconazole",3
"457","General Disorders","piperacillin_and_tazobactam",3
"458","Infections and infestations","aminophylline",3
"459","Infections and infestations","beclomethasone",3
"460","Infections and infestations","carbenicillin_indanyl",3
"461","Infections and infestations","cefadroxil",3
"462","Infections and infestations","cefamandole",3
"463","Infections and infestations","cefoperazone",3
"464","Infections and infestations","cephalosporin",3
"465","Infections and infestations","cephradine",3
"466","Infections and infestations","chlorpheniramine",3
"467","Infections and infestations","clarithromycin",3
"468","Infections and infestations","diclofenac",3
"469","Infections and infestations","heparin",3
"470","Infections and infestations","meperidine",3
"471","Infections and infestations","naproxen",3
"472","Infections and infestations","terfenadine",3
"473","Metabolism and nutrition  ","acetate",3
"474","Metabolism and nutrition  ","albumin",3
"475","Metabolism and nutrition  ","glyburide",3
"476","Metabolism and nutrition  ","magnesium_gluconate",3
"477","Metabolism and nutrition  ","phosphate",3
"478","Metabolism and nutrition  ","potassium_acetate",3
"479","Metabolism and nutrition  ","sodium_acetate",3
"480","Metabolism and nutrition  ","vitamin_K3",3
"481","Musculoskeletal System","indomethacin",3
"482","Nervous system  ","acetazolamide",3
"483","Nervous system  ","benztropine",3
"484","Nervous system  ","gabapentin",3
"485","Nervous system  ","levodopa",3
"486","Pain","gabapentin",3
"487","Pain","naloxone",3
"488","Pain","nystatin",3
"489","Psychiatric Disorders","desipramine",3
"490","Renal and urinary system  ","terazosin",3
"491","Respiratory System","brompheniramine",3
"492","Respiratory System","ephedrine",3
"493","Respiratory System","fentanyl",3
"494","Respiratory System","glycopyrrolate",3
"495","Respiratory System","hydrocortisone",3
"496","Respiratory System","ipratropium_bromide",3
"497","Respiratory System","ketotifen",3
"498","Respiratory System","metronidazole",3
"499","Respiratory System","morphine",3
"500","Respiratory System","vecuronium_bromide",3
"501","Skin and subcutaneous tissue  ","clindamycin",3
"502","Skin and subcutaneous tissue  ","miconazole",3
"503","Skin and subcutaneous tissue  ","vancomycin",3
"504","Surgical and medical procedures","acetaminophen_and_codeine",3
"505","Surgical and medical procedures","albumin",3
"506","Surgical and medical procedures","ampicillin",3
"507","Surgical and medical procedures","butamben_tetracaine_benzocaine",3
"508","Surgical and medical procedures","cefuroxime",3
"509","Surgical and medical procedures","cloxacillin",3
"510","Surgical and medical procedures","codeine",3
"511","Surgical and medical procedures","ephedrine",3
"512","Surgical and medical procedures","lidocaine_and_prilocaine",3
"513","Surgical and medical procedures","nitrous_oxide",3
"514","Surgical and medical procedures","penicillin",3
"515","Vascular System","aspirin",3
"516","Vascular System","hydrochlorothiazide",3
"517","Vascular System","hydrocortisone_acetate",3
"518","Vascular System","sodium_chloride_sodium_gluconate_sodium_acetate_potassium_chloride_and_magnesium_chloride",3
"519","Blood and lymphatic system  ","atropine",2
"520","Blood and lymphatic system  ","epoetin",2
"521","Blood and lymphatic system  ","protamine",2
"522","Cardiac System","calcium_chloride",2
"523","Cardiac System","ephedrine",2
"524","Cardiac System","heparin",2
"525","Cardiac System","isosorbide_dinitrate",2
"526","Cardiac System","midazolam",2
"527","Cardiac System","propranolol",2
"528","Cardiac System","scopolamine",2
"529","Endocrine System","dexamethasone",2
"530","Eye  ","gentamicin",2
"531","Eye  ","hydroxypropyl_methylcellulose",2
"532","Eye  ","naphazoline",2
"533","Eye  ","tropicamide",2
"534","Gastrointestinal System","acetaminophen",2
"535","Gastrointestinal System","erythromycin",2
"536","Gastrointestinal System","misoprostol",2
"537","Gastrointestinal System","pancrelipase",2
"538","Gastrointestinal System","vasopressin",2
"539","General Disorders","acetaminophen_and_oxycodone",2
"540","General Disorders","amoxicillin_and_clavulanate_potassium",2
"541","General Disorders","aztreonam",2
"542","General Disorders","cefoperazone",2
"543","General Disorders","cefotetan",2
"544","General Disorders","chlorhexidine_gluconate",2
"545","General Disorders","lidocaine",2
"546","General Disorders","midazolam",2
"547","General Disorders","nafcillin",2
"548","General Disorders","ofloxacin",2
"549","General Disorders","pseudoephedrine",2
"550","General Disorders","saline",2
"551","General Disorders","scopolamine",2
"552","Immune system  ","ketotifen",2
"553","Immune system  ","rbc",2
"554","Infections and infestations","acetylcysteine",2
"555","Infections and infestations","azithromycin",2
"556","Infections and infestations","butoconazole_nitrate",2
"557","Infections and infestations","carbenicillin",2
"558","Infections and infestations","cefaclor",2
"559","Infections and infestations","cimetidine",2
"560","Infections and infestations","cisapride",2
"561","Infections and infestations","dicloxacillin",2
"562","Infections and infestations","diphenhydramine",2
"563","Infections and infestations","furosemide",2
"564","Infections and infestations","glycopyrrolate",2
"565","Infections and infestations","guaifenesin_phenylephrine",2
"566","Infections and infestations","lactobacillus",2
"567","Infections and infestations","minocycline",2
"568","Infections and infestations","phenol",2
"569","Infections and infestations","phenytoin",2
"570","Infections and infestations","silver_sulfadiazine",2
"571","Infections and infestations","terazosin",2
"572","Metabolism and nutrition  ","bicarbonate",2
"573","Metabolism and nutrition  ","calcium_gluceptate",2
"574","Metabolism and nutrition  ","chloride",2
"575","Metabolism and nutrition  ","cholestyramine",2
"576","Metabolism and nutrition  ","etidronate",2
"577","Metabolism and nutrition  ","ferrous_gluconate",2
"578","Metabolism and nutrition  ","furosemide",2
"579","Metabolism and nutrition  ","iron_dextran",2
"580","Metabolism and nutrition  ","iron_vitamin_c",2
"581","Metabolism and nutrition  ","magnesium_hydroxide",2
"582","Metabolism and nutrition  ","morphine",2
"583","Metabolism and nutrition  ","platelets",2
"584","Metabolism and nutrition  ","polyethylene_glycol_electrolyte_solution",2
"585","Metabolism and nutrition  ","urea",2
"586","Musculoskeletal System","vecuronium_bromide",2
"587","Nervous system  ","dopamine",2
"588","Nervous system  ","nitrofurantoin",2
"589","Nervous system  ","nortriptyline",2
"590","Pain","aluminum_magnesium_simethicone",2
"591","Pain","baclofen",2
"592","Pain","bupivacaine",2
"593","Pain","hydrocodone",2
"594","Pain","levorphanol",2
"595","Pain","zinc_sulfate_monohydrate",2
"596","Psychiatric Disorders","butorphanol_tartrate",2
"597","Psychiatric Disorders","codeine",2
"598","Psychiatric Disorders","ephedrine",2
"599","Psychiatric Disorders","hydromorphone",2
"600","Psychiatric Disorders","meperidine",2
"601","Psychiatric Disorders","methylphenidate",2
"602","Psychiatric Disorders","metoclopramide",2
"603","Psychiatric Disorders","multivitamin_and_supplements",2
"604","Psychiatric Disorders","oxazepam",2
"605","Psychiatric Disorders","pseudoephedrine",2
"606","Psychiatric Disorders","ranitidine",2
"607","Psychiatric Disorders","venlafaxine",2
"608","Renal and urinary system  ","ciprofloxacin",2
"609","Renal and urinary system  ","methenamine",2
"610","Renal and urinary system  ","metolazone",2
"611","Renal and urinary system  ","ranitidine",2
"612","Renal and urinary system  ","saline",2
"613","Reproductive system and breast  ","conjugated_estrogens",2
"614","Reproductive system and breast  ","estrogen",2
"615","Respiratory System","acetaminophen_dexbrompheniramine_pseudoephedrine",2
"616","Respiratory System","acetylcysteine_and_albuterol",2
"617","Respiratory System","bacitracin",2
"618","Respiratory System","benzocaine_menthol",2
"619","Respiratory System","cefuroxime",2
"620","Respiratory System","clindamycin",2
"621","Respiratory System","epinepherine",2
"622","Respiratory System","lidocaine",2
"623","Respiratory System","lorazepam",2
"624","Respiratory System","ofloxacin",2
"625","Respiratory System","potassium_iodide",2
"626","Respiratory System","rbc",2
"627","Respiratory System","sodium_chloride",2
"628","Respiratory System","tobramycin",2
"629","Skin and subcutaneous tissue  ","cephalexin",2
"630","Skin and subcutaneous tissue  ","ciprofloxacin",2
"631","Skin and subcutaneous tissue  ","collagenase",2
"632","Skin and subcutaneous tissue  ","cyproheptadine",2
"633","Skin and subcutaneous tissue  ","erythromycin",2
"634","Skin and subcutaneous tissue  ","framycetin",2
"635","Skin and subcutaneous tissue  ","sodium_hypochlorite",2
"636","Skin and subcutaneous tissue  ","tetracycline",2
"637","Surgical and medical procedures","bupivacaine",2
"638","Surgical and medical procedures","bupivacaine_hydrochloride_and_epinephrine_bitartrate",2
"639","Surgical and medical procedures","cefotetan",2
"640","Surgical and medical procedures","ceftazidime",2
"641","Surgical and medical procedures","ceftizoxime",2
"642","Surgical and medical procedures","ceftriaxone",2
"643","Surgical and medical procedures","cisatracurium",2
"644","Surgical and medical procedures","cocaine",2
"645","Surgical and medical procedures","desflurane",2
"646","Surgical and medical procedures","dimenhydrinate",2
"647","Surgical and medical procedures","epinephrine",2
"648","Surgical and medical procedures","flumazenil",2
"649","Surgical and medical procedures","furosemide",2
"650","Surgical and medical procedures","hydrocortisone",2
"651","Surgical and medical procedures","ketamine",2
"652","Surgical and medical procedures","labetalol",2
"653","Surgical and medical procedures","methylprednisolone_sodium_succinate",2
"654","Surgical and medical procedures","metocurine_iodide",2
"655","Surgical and medical procedures","nitroglycerin",2
"656","Surgical and medical procedures","pancrelipase",2
"657","Surgical and medical procedures","pipecuronium",2
